Date,Description,,Amount
05/26/2020,DISCOVER E-PAYMENT 200522,,-140.00
05/26/2020,Stephen Frimpo TRANSFER,,32.00
05/22/2020,Acorns Invest Transfer 052220,,-5.86
05/22/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,100.00
05/20/2020,Subscription Acorns 052020,,-1.00
05/19/2020,MOBILE - APPLE CASH - SE 877-233-8552 /CA US CARD PURCHASE,,-60.00
05/19/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,100.00
05/18/2020,DISCOVER E-PAYMENT 200515,,-200.00
05/18/2020,Acorns Invest Transfer 051820,,-10.00
05/18/2020,Stephen Frimpo TRANSFER,,15.00
05/15/2020,Acorns Invest Transfer 051520,,-5.70
05/15/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,100.00
05/15/2020,Square Inc * Cash App200515 T200228816575,,100.00
05/14/2020,MONEYGRAM US 000-000-0000 /TX US CARD PURCHASE,,-18.19
05/13/2020,Square Inc * Cash App200513 T200228138585,,2.00
05/12/2020,DISCOVER E-PAYMENT 200511,,-200.00
05/12/2020,Acorns Invest Transfer 051220,,-7.04
05/12/2020,Square Inc * Cash App200512 T200227542867,,20.00
05/11/2020,VZ WIRELESS VE VZW WEBPAY200509,,-109.25
05/11/2020,APPLECARD GSBANK PAYMENT 050820,,-31.31
05/11/2020,Acorns Invest Transfer 051120,,-10.00
05/11/2020,Acorns Invest Transfer 051120,,-6.94
05/08/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,100.00
05/05/2020,Square Inc * Cash App200505 T200224566249,,70.00
05/04/2020,DISCOVER E-PAYMENT 200503,,-104.00
05/04/2020,APPLECARD GSBANK PAYMENT 050320,,-11.87
05/04/2020,Acorns Invest Transfer 050420,,-10.00
05/04/2020,MONEYGRAM US 000-000-0000 /TX US CARD PURCHASE,,-55.00
05/04/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,200.00
05/01/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,100.00
04/29/2020,Acorns Invest Transfer 042920,,-5.28
04/28/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,100.00
04/27/2020,DISCOVER E-PAYMENT 200426,,-266.00
04/27/2020,Acorns Invest Transfer 042720,,-10.00
04/24/2020,Acorns Invest Transfer 042420,,-5.70
04/24/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,100.00
04/20/2020,DISCOVER E-PAYMENT 200419,,-300.00
04/20/2020,Acorns Invest Transfer 042020,,-10.00
04/20/2020,Subscription Acorns 042020,,-1.00
04/20/2020,WORCESTER POLYTE EXPENSES 200416 *************VE,,175.00
04/17/2020,Acorns Invest Transfer 041720,,-5.68
04/17/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,100.00
04/16/2020,CASH WITHDRAWAL SANTANDER D246 Worcester /MA US,,-200.00
04/13/2020,DISCOVER E-PAYMENT 200412,,-309.76
04/13/2020,Acorns Invest Transfer 041320,,-5.00
04/13/2020,Stephen Frimpo TRANSFER,,400.00
04/10/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,100.00
04/07/2020,Acorns Invest Transfer 040720,,-5.05
04/07/2020,Square Inc * Cash App200407 T200214084100,,20.00
04/06/2020,DISCOVER E-PAYMENT 200405,,-253.01
04/06/2020,VZ WIRELESS VE VZW WEBPAY200405,,-247.38
04/06/2020,APPLECARD GSBANK PAYMENT 040520,,-20.08
04/06/2020,Acorns Invest Transfer 040620,,-5.00
04/06/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,254.00
04/02/2020,DISCOVER E-PAYMENT 200401,,-1446.06
04/02/2020,VENMO PAYMENT,,-20.00
04/01/2020,APPLECARD GSBANK PAYMENT 033120,,-221.27
04/01/2020,Square Inc * Cash App200401 T200212103913,,15.00
03/31/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,2000.00
03/27/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,229.00
03/20/2020,Acorns Invest Transfer 032020,,-5.00
03/19/2020,Subscription Acorns 031920,,-1.00
03/16/2020,APPLECARD GSBANK PAYMENT 031320,,-129.21
03/16/2020,DISCOVER E-PAYMENT 200313,,-93.00
03/16/2020,VENMO PAYMENT,,-70.00
03/16/2020,Acorns Invest Transfer 031620,,-5.47
03/13/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,230.00
03/12/2020,Square Inc * Cash App200312 T200206159443,,70.00
03/11/2020,VENMO CASHOUT ********36,,1.50
03/02/2020,DISCOVER E-PAYMENT 200228,,-210.00
03/02/2020,BRANCH TRANSACTION AT PARK AVENUE- CASH WITHDRAWAL.,,-22.00
02/28/2020,Square Inc * Cash App200228 T200201497964,,13.00
02/28/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,229.00
02/24/2020,APPLECARD GSBANK PAYMENT 022320,,-155.11
02/20/2020,DISCOVER E-PAYMENT 200219,,-22.86
02/20/2020,Acorns Invest Transfer 022020,,-5.09
02/20/2020,Acorns Invest Transfer 022020,,-5.00
02/19/2020,Subscription Acorns 021920,,-1.00
02/19/2020,Square Inc * Cash App200219 T200198242068,,10.00
02/19/2020,VENMO CASHOUT ********38,,37.50
02/14/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,230.00
02/10/2020,INSUFFICIENT FUNDS FEE - ITEM PAID,,-35.00
02/10/2020,DISCOVER E-PAYMENT 200207,,-100.00
02/10/2020,Acorns Invest Transfer 021020,,-5.99
02/04/2020,Square Inc * Cash App200204 T200193601547,,20.00
02/03/2020,DISCOVER E-PAYMENT 200202,,-180.00
02/03/2020,APPLECARD GSBANK PAYMENT 020220,,-21.87
01/31/2020,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,229.00
01/21/2020,Acorns Invest Transfer 012120,,-5.00
01/21/2020,Subscription Acorns 012120,,-1.00
01/17/2020,Acorns Invest Transfer 011720,,-5.29
01/16/2020,Square Inc * Cash App200116 T200188280630,,-22.00
01/14/2020,Acorns Invest Transfer 011420,,-5.00
01/14/2020,Square Inc * Cash App200114 T200187351996,,9.00
01/13/2020,DISCOVER E-PAYMENT 200112,,-50.69
01/13/2020,VENMO PAYMENT,,-9.00
01/13/2020,Acorns Invest Transfer 011320,,-5.05
01/10/2020,Square Inc * Cash App200110 T200186486160,,38.00
01/08/2020,VENMO PAYMENT,,-110.00
01/07/2020,Acorns Invest Transfer 010720,,-5.00
01/07/2020,Square Inc * Cash App200107 T200185468375,,110.00
01/06/2020,VZ WIRELESS VE VZW WEBPAY200105,,-100.97
01/06/2020,Subscription Acorns 010620,,-1.00
01/06/2020,BRANCH TRANSACTION AT PARK AVENUE- CASH WITHDRAWAL.,,-500.00
01/03/2020,DISCOVER E-PAYMENT 200102,,-300.00
01/03/2020,APPLECARD GSBANK PAYMENT 010220,,-64.14
01/03/2020,Square Inc * Cash App200103 T200184476118,,501.00
01/02/2020,DISCOVER E-PAYMENT 191231,,-250.00
01/02/2020,BRANCH TRANSACTION AT UPPER EAST SIDE- CASH DEPOSIT.,,100.00
01/02/2020,BRANCH TRANSACTION AT PARK AVENUE- CASH DEPOSIT.,,300.00
12/31/2019,VENMO PAYMENT,,-10.00
12/31/2019,Acorns Invest Transfer 123119,,-5.00
12/31/2019,Square Inc * Cash App191231 T200183664387,,29.50
12/31/2019,BRANCH TRANSACTION AT PARK AVENUE- CASH DEPOSIT.,,240.00
12/30/2019,VENMO PAYMENT,,-22.00
12/30/2019,VENMO PAYMENT,,-20.00
12/30/2019,Acorns Invest Transfer 123019,,-5.08
12/27/2019,DISCOVER E-PAYMENT 191226,,-211.00
12/26/2019,Acorns Invest Transfer 122619,,-5.36
12/24/2019,Acorns Invest Transfer 122419,,-5.00
12/24/2019,Square Inc * Cash App191224 T200181556909,,27.00
12/23/2019,VENMO PAYMENT,,-27.00
12/20/2019,INTERNET TRANSFER FROM ACCT *8542 - SANTANDER SAVINGS,,230.00
12/19/2019,DISCOVER E-PAYMENT 191218,,-589.98
